,comName,date,lat,lng,locId,sciName,subId
0,Common Buzzard,2023-07-27,42.5204015,-1.6472065,L26223925,Buteo buteo,S145723417
1,Red-billed Chough,2023-07-27,42.5204015,-1.6472065,L26223925,Pyrrhocorax pyrrhocorax,S145723417
2,Eurasian Griffon,2023-07-27,42.5204015,-1.6472065,L26223925,Gyps fulvus,S145723417
3,Lesser Kestrel,2023-07-27,42.5204015,-1.6472065,L26223925,Falco naumanni,S145723417
4,Red Kite,2023-07-27,42.5204015,-1.6472065,L26223925,Milvus milvus,S145723417
5,Barn Swallow,2023-07-27,51.5956549,3.7522817,L4434146,Hirundo rustica,S145723392
6,European Starling,2023-07-27,51.5956549,3.7522817,L4434146,Sturnus vulgaris,S145723392
7,Lesser Black-backed Gull,2023-07-27,51.5956549,3.7522817,L4434146,Larus fuscus,S145723392
8,Ring-necked Pheasant,2023-07-27,51.5956549,3.7522817,L4434146,Phasianus colchicus,S145723392
9,Black-headed Gull,2023-07-27,51.5956549,3.7522817,L4434146,Chroicocephalus ridibundus,S145723392
10,Common Tern,2023-07-27,51.5956549,3.7522817,L4434146,Sterna hirundo,S145723392
11,Black Swan,2023-07-27,51.5956549,3.7522817,L4434146,Cygnus atratus,S145723392
12,Great Cormorant,2023-07-27,51.5956549,3.7522817,L4434146,Phalacrocorax carbo,S145723392
13,Coal Tit,2023-07-27,41.592258,1.836498,L1903860,Periparus ater,S145723188
14,Common Chaffinch,2023-07-27,41.592258,1.836498,L1903860,Fringilla coelebs,S145723188
15,Sandwich Tern,2023-07-27,51.6014227,3.7942958,L5654497,Thalasseus sandvicensis,S145723159
16,Booted Eagle,2023-07-27,37.2918801,-5.9784778,L26223805,Hieraaetus pennatus,S145723031
17,Common Wood-Pigeon,2023-07-27,49.8304477,8.7381193,L26223819,Columba palumbus,S145723082
18,Red Kite,2023-07-27,49.8304477,8.7381193,L26223819,Milvus milvus,S145723082
19,Barn Swallow,2023-07-27,37.3524209,-5.698388,L23543695,Hirundo rustica,S145723294
20,Zitting Cisticola,2023-07-27,37.3524209,-5.698388,L23543695,Cisticola juncidis,S145723294
21,Little Owl,2023-07-27,41.518375,0.606766,L5824225,Athene noctua,S145722976
22,Crested Lark,2023-07-27,37.3524209,-5.698388,L23543695,Galerida cristata,S145723294
23,Black-winged Stilt,2023-07-27,40.657732,0.68071,L26223769,Himantopus himantopus,S145722901
24,Dunlin,2023-07-27,43.6248315,-5.876467,L9228027,Calidris alpina,S145722890
25,Little Ringed Plover,2023-07-27,43.6248315,-5.876467,L9228027,Charadrius dubius,S145722890
26,House Sparrow,2023-07-27,42.821717,-1.627836,L24665161,Passer domesticus,S145723006
27,Eurasian Magpie,2023-07-27,42.821717,-1.627836,L24665161,Pica pica,S145723006
