,comName,date,lat,lng,locId,sciName,subId,geometry
0,Barn Owl,2023-05-30,39.6847002,2.8666183,L10271452,Tyto alba,S139932571,POINT (2.8666183 39.6847002)
1,Eurasian Scops-Owl,2023-05-30,45.3762615,11.8545163,L19440519,Otus scops,S139930921,POINT (11.8545163 45.3762615)
2,Long-eared Owl,2023-05-30,53.133787,8.153594,L24813496,Asio otus,S139929837,POINT (8.153594 53.133787)
3,Eurasian Scops-Owl,2023-05-30,40.3156873,-4.209496,L24255539,Otus scops,S139928354,POINT (-4.209496 40.3156873)
4,Red-necked Nightjar,2023-05-30,40.3156873,-4.209496,L24255539,Caprimulgus ruficollis,S139928354,POINT (-4.209496 40.3156873)
5,Tawny Owl,2023-05-30,36.6629285,-6.1184167,L14601401,Strix aluco,S139927528,POINT (-6.1184167 36.6629285)
6,Corn Crake,2023-05-30,53.195715,6.926611,L24812986,Crex crex,S139927448,POINT (6.926611 53.195715)
7,Eurasian Nightjar,2023-05-30,43.279541,-3.1293416,L11629617,Caprimulgus europaeus,S139925755,POINT (-3.1293416 43.279541)
8,Eurasian Nightjar,2023-05-30,45.2119013,0.9570365,L11813038,Caprimulgus europaeus,S139924982,POINT (0.9570365 45.2119013)
9,Eurasian Blackbird,2023-05-30,45.2119013,0.9570365,L11813038,Turdus merula,S139924982,POINT (0.9570365 45.2119013)
10,Song Thrush,2023-05-30,51.956215,7.704947,L22775609,Turdus philomelos,S139924551,POINT (7.704947 51.956215)
11,Eurasian Eagle-Owl,2023-05-30,40.8052334,-3.5395533,L24812253,Bubo bubo,S139924381,POINT (-3.5395533 40.8052334)
12,Common Nightingale,2023-05-30,43.9677367,3.312485,L24812394,Luscinia megarhynchos,S139925027,POINT (3.312485 43.9677367)
13,Greater Whitethroat,2023-05-30,43.9677367,3.312485,L24812394,Curruca communis,S139925027,POINT (3.312485 43.9677367)
14,European Robin,2023-05-30,51.502416,7.3445016,L13345289,Erithacus rubecula,S139926638,POINT (7.3445016 51.502416)
15,Eurasian Blackbird,2023-05-30,51.502416,7.3445016,L13345289,Turdus merula,S139926638,POINT (7.3445016 51.502416)
